New ID,Country Name,country,birth,code,region,lat,long
249,Uganda,Uganda,22.364,UGA,Africa,1.0,32.0
250,Ukraine,Ukraine,5.864,UKR,Europe,49.0,32.0
251,Upper middle income,,7.30280390973184,UMC,,,
252,Uruguay,Uruguay,7.98,URY,America,-33.0,-56.0
253,United States,United States of America,7.2,USA,America,38.0,-97.0
254,Uzbekistan,Uzbekistan,9.82,UZB,Asia,41.0,64.0
255,St. Vincent and the Grenadines,Saint Vincent and the Grenadines,7.724,VCT,America,13.25,-61.2
256,"Venezuela, RB",Venezuela,9.267999999999999,VEN,America,8.0,-66.0
257,British Virgin Islands,,,VGB,,,
258,Virgin Islands (U.S.),,8.36,VIR,,,
259,Vietnam,Vietnam,7.816,VNM,Asia,16.0,106.0
260,Vanuatu,Vanuatu,13.1,VUT,Oceania,-16.0,167.0
261,World,,9.756102199272359,WLD,,,
262,Samoa,Samoa,15.904000000000002,WSM,Oceania,-13.5833,-172.3333
263,Kosovo,Kosovo,8.24,XKX,Europe,42.614681,20.824454
264,"Yemen, Rep.",Yemen,15.98,YEM,Asia,15.0,48.0
265,South Africa,South Africa,9.832,ZAF,Africa,-29.0,24.0
266,Zambia,Zambia,19.924,ZMB,Africa,-15.0,30.0
267,Zambia,Nauru,19.924,ZMB,Oceania,-0.5333,166.9167
268,Zimbabwe,Zimbabwe,15.04,ZWE,Africa,-20.0,30.0
